dataset,track_id,condition,snr_db,accomp,detector,precision,recall,f_measure,n_ref,n_est
vocadito,15,clean,,Alexander Ross - Goodbye Bolero,madmom_cnn,0.6944444444444444,0.5319148936170213,0.6024096385542169,47,36
vocadito,15,mix,-5.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.23423423423423423,0.5531914893617021,0.32911392405063294,47,111
vocadito,15,mix,-5.0,Alexander Ross - Goodbye Bolero,superflux,0.2872340425531915,0.574468085106383,0.3829787234042553,47,94
vocadito,15,mix,-5.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.226890756302521,0.574468085106383,0.32530120481927716,47,119
vocadito,15,separated,-5.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.509090909090909,0.5957446808510638,0.5490196078431372,47,55
vocadito,15,separated,-5.0,Alexander Ross - Goodbye Bolero,superflux,0.6333333333333333,0.40425531914893614,0.49350649350649345,47,30
vocadito,15,separated,-5.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.6363636363636364,0.44680851063829785,0.5249999999999999,47,33
vocadito,15,mix,0.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.25471698113207547,0.574468085106383,0.3529411764705882,47,106
vocadito,15,mix,0.0,Alexander Ross - Goodbye Bolero,superflux,0.30952380952380953,0.5531914893617021,0.3969465648854962,47,84
vocadito,15,mix,0.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.2767857142857143,0.6595744680851063,0.389937106918239,47,112
vocadito,15,separated,0.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.5357142857142857,0.6382978723404256,0.5825242718446602,47,56
vocadito,15,separated,0.0,Alexander Ross - Goodbye Bolero,superflux,0.55,0.46808510638297873,0.5057471264367817,47,40
vocadito,15,separated,0.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.6944444444444444,0.5319148936170213,0.6024096385542169,47,36
vocadito,15,mix,5.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.2604166666666667,0.5319148936170213,0.34965034965034963,47,96
vocadito,15,mix,5.0,Alexander Ross - Goodbye Bolero,superflux,0.2948717948717949,0.48936170212765956,0.368,47,78
vocadito,15,mix,5.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.2647058823529412,0.574468085106383,0.3624161073825504,47,102
vocadito,15,separated,5.0,Alexander Ross - Goodbye Bolero,spectral_flux,0.6097560975609756,0.5319148936170213,0.5681818181818181,47,41
vocadito,15,separated,5.0,Alexander Ross - Goodbye Bolero,superflux,0.6333333333333333,0.40425531914893614,0.49350649350649345,47,30
vocadito,15,separated,5.0,Alexander Ross - Goodbye Bolero,madmom_cnn,0.7058823529411765,0.5106382978723404,0.5925925925925926,47,34
vocadito,16,clean,,ANiMAL - Clinic A,spectral_flux,0.5294117647058824,0.574468085106383,0.5510204081632654,47,51
vocadito,16,clean,,ANiMAL - Clinic A,superflux,0.5490196078431373,0.5957446808510638,0.5714285714285715,47,51
vocadito,16,clean,,ANiMAL - Clinic A,madmom_cnn,0.8205128205128205,0.6808510638297872,0.7441860465116279,47,39
vocadito,16,mix,-5.0,ANiMAL - Clinic A,spectral_flux,0.2782608695652174,0.6808510638297872,0.3950617283950617,47,115
vocadito,16,mix,-5.0,ANiMAL - Clinic A,superflux,0.27184466019417475,0.5957446808510638,0.37333333333333335,47,103
vocadito,16,mix,-5.0,ANiMAL - Clinic A,madmom_cnn,0.31683168316831684,0.6808510638297872,0.43243243243243246,47,101
vocadito,16,separated,-5.0,ANiMAL - Clinic A,spectral_flux,0.47435897435897434,0.7872340425531915,0.592,47,78
vocadito,16,separated,-5.0,ANiMAL - Clinic A,superflux,0.5333333333333333,0.6808510638297872,0.5981308411214953,47,60
vocadito,16,separated,-5.0,ANiMAL - Clinic A,madmom_cnn,0.7674418604651163,0.7021276595744681,0.7333333333333334,47,43
vocadito,16,mix,0.0,ANiMAL - Clinic A,spectral_flux,0.29411764705882354,0.7446808510638298,0.42168674698795183,47,119
vocadito,16,mix,0.0,ANiMAL - Clinic A,superflux,0.3063063063063063,0.723404255319149,0.43037974683544306,47,111
vocadito,16,mix,0.0,ANiMAL - Clinic A,madmom_cnn,0.38461538461538464,0.7446808510638298,0.5072463768115941,47,91
vocadito,16,separated,0.0,ANiMAL - Clinic A,spectral_flux,0.5072463768115942,0.7446808510638298,0.603448275862069,47,69
vocadito,16,separated,0.0,ANiMAL - Clinic A,superflux,0.5714285714285714,0.6808510638297872,0.6213592233009708,47,56
vocadito,16,separated,0.0,ANiMAL - Clinic A,madmom_cnn,0.7804878048780488,0.6808510638297872,0.7272727272727273,47,41
vocadito,16,mix,5.0,ANiMAL - Clinic A,spectral_flux,0.31896551724137934,0.7872340425531915,0.45398773006134974,47,116
vocadito,16,mix,5.0,ANiMAL - Clinic A,superflux,0.32038834951456313,0.7021276595744681,0.44,47,103
vocadito,16,mix,5.0,ANiMAL - Clinic A,madmom_cnn,0.45454545454545453,0.7446808510638298,0.564516129032258,47,77
vocadito,16,separated,5.0,ANiMAL - Clinic A,spectral_flux,0.5161290322580645,0.6808510638297872,0.5871559633027522,47,62
vocadito,16,separated,5.0,ANiMAL - Clinic A,superflux,0.5818181818181818,0.6808510638297872,0.627450980392157,47,55
vocadito,16,separated,5.0,ANiMAL - Clinic A,madmom_cnn,0.775,0.6595744680851063,0.7126436781609196,47,40
vocadito,17,clean,,Buitraker - Revo X,spectral_flux,0.4418604651162791,0.35185185185185186,0.3917525773195876,54,43
vocadito,17,clean,,Buitraker - Revo X,superflux,0.5357142857142857,0.2777777777777778,0.36585365853658536,54,28
vocadito,17,clean,,Buitraker - Revo X,madmom_cnn,0.5333333333333333,0.4444444444444444,0.4848484848484848,54,45
vocadito,17,mix,-5.0,Buitraker - Revo X,spectral_flux,0.21333333333333335,0.2962962962962963,0.24806201550387597,54,75
vocadito,17,mix,-5.0,Buitraker - Revo X,superflux,0.20833333333333334,0.18518518518518517,0.19607843137254902,54,48
vocadito,17,mix,-5.0,Buitraker - Revo X,madmom_cnn,0.20270270270270271,0.2777777777777778,0.234375,54,74
vocadito,17,separated,-5.0,Buitraker - Revo X,spectral_flux,0.45,0.3333333333333333,0.3829787234042553,54,40
vocadito,17,separated,-5.0,Buitraker - Revo X,superflux,0.4090909090909091,0.16666666666666666,0.23684210526315785,54,22
vocadito,17,separated,-5.0,Buitraker - Revo X,madmom_cnn,0.41935483870967744,0.24074074074074073,0.30588235294117644,54,31
vocadito,17,mix,0.0,Buitraker - Revo X,spectral_flux,0.23880597014925373,0.2962962962962963,0.2644628099173554,54,67
vocadito,17,mix,0.0,Buitraker - Revo X,superflux,0.25,0.14814814814814814,0.18604651162790697,54,32
vocadito,17,mix,0.0,Buitraker - Revo X,madmom_cnn,0.24285714285714285,0.3148148148148148,0.2741935483870968,54,70
vocadito,17,separated,0.0,Buitraker - Revo X,spectral_flux,0.4461538461538462,0.5370370370370371,0.48739495798319327,54,65
vocadito,17,separated,0.0,Buitraker - Revo X,superflux,0.39473684210526316,0.2777777777777778,0.32608695652173914,54,38
vocadito,17,separated,0.0,Buitraker - Revo X,madmom_cnn,0.4444444444444444,0.2962962962962963,0.3555555555555555,54,36
vocadito,17,mix,5.0,Buitraker - Revo X,spectral_flux,0.23636363636363636,0.24074074074074073,0.2385321100917431,54,55
vocadito,17,mix,5.0,Buitraker - Revo X,superflux,0.35,0.12962962962962962,0.18918918918918917,54,20
vocadito,17,mix,5.0,Buitraker - Revo X,madmom_cnn,0.2608695652173913,0.3333333333333333,0.2926829268292683,54,69
vocadito,17,separated,5.0,Buitraker - Revo X,spectral_flux,0.5,0.5555555555555556,0.5263157894736842,54,60
vocadito,17,separated,5.0,Buitraker - Revo X,superflux,0.45454545454545453,0.2777777777777778,0.3448275862068966,54,33
vocadito,17,separated,5.0,Buitraker - Revo X,madmom_cnn,0.48484848484848486,0.2962962962962963,0.36781609195402293,54,33
vocadito,18,clean,,The Districts - Vermont,spectral_flux,0.4583333333333333,0.4888888888888889,0.4731182795698925,45,48
vocadito,18,clean,,The Districts - Vermont,superflux,0.4090909090909091,0.4,0.40449438202247195,45,44
vocadito,18,clean,,The Districts - Vermont,madmom_cnn,0.515625,0.7333333333333333,0.6055045871559632,45,64
vocadito,18,mix,-5.0,The Districts - Vermont,spectral_flux,0.1724137931034483,0.6666666666666666,0.273972602739726,45,174
vocadito,18,mix,-5.0,The Districts - Vermont,superflux,0.19708029197080293,0.6,0.2967032967032967,45,137
vocadito,18,mix,-5.0,The Districts - Vermont,madmom_cnn,0.23931623931623933,0.6222222222222222,0.34567901234567905,45,117
vocadito,18,separated,-5.0,The Districts - Vermont,spectral_flux,0.35526315789473684,0.6,0.4462809917355372,45,76
